peakcalls,offpeakcalls,weekendcalls,nationalcalls,intcalls,status,totalcost
73,23,10,89,10,0,2300
23,11,9,22,11,0,3200
10,2,1,1,0,1,100
23,?,34,34,21,1,0
100,20,80,29,19,0,1200
120,19,76,39,11,0,2311
9,2,5,1,2,1,200
7,3,2,1,1,1,100
130,20,180,29,19,1,1200
120,119,76,39,11,1,2311
56,29,23,100,22,0,4657
223,21,34,314,?,1,0
231,22,11,11,29,0,2199
7,2,1,2,2,0,50
33,21,201,100,129,0,8765
38,21,89,122,37,0,2111
3,6,2,6,5,1,120
3,?,34,34,21,1,?
10,2,1,1,2,1,77
21,10,2,1,1,1,199
123,?,34,34,21,?,0
73,23,80,89,10,0,2300
23,11,9,22,11,0,3200
10,21,1,1,0,1,100
23,?,34,34,21,1,0
100,20,80,29,19,0,1200
120,19,76,39,11,0,2311
9,12,5,1,2,1,200
7,3,21,1,1,1,100
56,29,23,100,22,0,4657
223,121,34,314,?,1,0
231,222,11,11,29,0,2199
7,2,1,2,2,0,50
10,20,80,219,19,0,1200
1120,19,76,319,11,1,2311
33,211,201,100,129,0,8765
38,21,89,122,37,0,2111
3,61,2,6,5,1,120
3,?,34,34,21,1,?
10,12,1,1,2,1,77
21,10,2,1,1,1,199
123,?,34,34,21,?,0
73,23,101,89,10,0,2300
23,11,91,22,11,0,3200
10,12,1,1,0,1,100
23,?,34,34,21,1,0
100,120,80,29,19,0,1200
120,119,76,39,11,0,2311
9,2,5,1,12,1,200
7,31,2,1,11,1,100
56,29,213,100,22,0,4657
223,212,34,314,?,1,0
100,120,80,29,19,1,1200
120,119,76,39,11,0,2311
231,22,11,121,29,0,2199
7,2,1,2,12,0,50
33,211,201,100,129,0,8765
38,21,891,122,37,0,2111
10,20,80,29,19,0,1200
20,19,76,139,11,1,2311
3,6,2,6,51,1,120
3,?,134,34,21,1,?
10,2,11,1,2,1,77
21,10,2,11,1,1,199
123,?,34,34,21,?,0
